# Matter power spectrum P(k) at redshift z=0
# for k=1.04077e-05 to 104.184 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.040771758748e-05       4.743951784911e+01 
       1.310254014965e-05       5.926653739553e+01 
       1.649512075345e-05       7.404205995896e+01 
       2.076612668713e-05       9.250106443534e+01 
       2.614300459097e-05       1.155617036461e+02 
       3.291209282022e-05       1.443708600701e+02 
       4.143387000671e-05       1.803609775868e+02 
       5.216215186042e-05       2.253209414574e+02 
       6.566825851095e-05       2.814842403910e+02 
       8.267143938770e-05       3.516385192107e+02 
       1.040771758748e-04       4.392610759926e+02 
       1.310254014965e-04       5.486856894187e+02 
       1.649512075345e-04       6.853061899833e+02 
       2.076612668713e-04       8.558215536201e+02 
       2.614300459097e-04       1.068524935650e+03 
       3.291209282022e-04       1.333633887441e+03 
       4.143387000671e-04       1.663650209202e+03 
       5.216215186042e-04       2.073725840006e+03 
       6.566825851095e-04       2.581997996976e+03 
       8.267143938770e-04       3.209835372299e+03 
       1.040771758748e-03       3.981867829987e+03 
       1.310254014965e-03       4.925516130615e+03 
       1.649512075345e-03       6.069500902824e+03 
       2.076612668713e-03       7.441688083527e+03 
       2.614300459097e-03       9.064478811953e+03 
       3.291209282022e-03       1.094845452385e+04 
       4.143387000671e-03       1.308366272130e+04 
       5.216215186042e-03       1.542765842021e+04 
       6.566825851095e-03       1.789099236843e+04 
       8.267143938770e-03       2.032324758868e+04 
       1.040771758748e-02       2.249486418170e+04 
       1.310254014965e-02       2.408926530167e+04 
       1.649512075342e-02       2.472020926006e+04 
       2.076612652675e-02       2.400236235084e+04 
       2.614288151727e-02       2.175894553096e+04 
       3.289494637023e-02       1.833045545368e+04 
       4.085990114157e-02       1.489409859801e+04 
       4.759146495713e-02       1.292252493536e+04 
       5.247049894044e-02       1.195542320331e+04 
       5.649132062673e-02       1.135313374460e+04 
       6.008009203444e-02       1.089867433880e+04 
       6.342654928880e-02       1.050167950688e+04 
       6.663101624026e-02       1.011598651662e+04 
       6.975360443756e-02       9.718182782319e+03 
       7.283377754163e-02       9.296078551695e+03 
       7.589933616889e-02       8.846453758992e+03 
       7.897101425976e-02       8.373342947057e+03 
       8.206503192764e-02       7.885600314996e+03 
       8.519460753987e-02       7.394875796933e+03 
       8.837090068794e-02       6.915063938094e+03 
       9.160362545494e-02       6.459718599364e+03 
       9.490146328961e-02       6.040898889394e+03 
       9.827234902861e-02       5.668509675054e+03 
       1.017236737558e-01       5.347965043680e+03 
       1.052624314438e-01       5.080344784516e+03 
       1.088953265504e-01       4.862628443719e+03 
       1.126288538462e-01       4.686787214380e+03 
       1.164693580797e-01       4.541042273539e+03 
       1.204230787587e-01       4.410724562572e+03 
       1.244961838106e-01       4.279643360832e+03 
       1.286947948904e-01       4.133640454299e+03 
       1.330250064421e-01       3.961823337648e+03 
       1.374929001818e-01       3.760627624480e+03 
       1.421045563757e-01       3.533921716639e+03 
       1.468660630944e-01       3.293053104544e+03 
       1.517835244998e-01       3.053973704031e+03 
       1.568630691428e-01       2.833017576029e+03 
       1.621108591970e-01       2.643384234237e+03 
       1.675331015253e-01       2.491227686998e+03 
       1.731360614562e-01       2.374594508058e+03 
       1.789260801313e-01       2.283433696498e+03 
       1.849095962799e-01       2.203288545773e+03 
       1.910931732695e-01       2.117594585011e+03 
       1.974835322860e-01       2.014100210008e+03 
       2.040875925091e-01       1.890525936457e+03 
       2.109125191817e-01       1.755771909835e+03 
       2.179657805301e-01       1.624289810979e+03 
       2.252552145873e-01       1.509038567258e+03 
       2.327891071206e-01       1.416622616459e+03 
       2.405762820796e-01       1.345241780484e+03 
       2.486262062836e-01       1.284886782751e+03 
       2.569491104855e-01       1.222935654613e+03 
       2.655561295110e-01       1.151887126225e+03 
       2.744594649196e-01       1.072814728060e+03 
       2.836725746277e-01       9.942786007576e+02 
       2.932103952440e-01       9.259377323995e+02 
       3.030896046034e-01       8.705641343251e+02 
       3.133289343025e-01       8.233075768573e+02 
       3.239495451399e-01       7.765644682424e+02 
       3.349754825807e-01       7.259324956675e+02 
       3.464342351395e-01       6.741943915547e+02 
       3.583574266124e-01       6.268250322339e+02 
       3.707816844194e-01       5.863188553476e+02 
       3.837497425655e-01       5.495769303752e+02 
       3.973118614006e-01       5.126797339673e+02 
       4.115276815252e-01       4.754342614616e+02 
       4.264686824669e-01       4.406446081420e+02 
       4.422214992928e-01       4.092645840289e+02 
       4.588924813592e-01       3.795917620766e+02 
       4.766140911158e-01       3.501580927647e+02 
       4.955541001541e-01       3.220561631863e+02 
       5.159291644739e-01       2.959827620806e+02 
       5.380254897803e-01       2.706184505959e+02 
       5.622314275131e-01       2.460294764446e+02 
       5.890910638348e-01       2.225200494964e+02 
       6.193967126957e-01       1.994489524660e+02 
       6.543579795868e-01       1.768704617789e+02 
       6.959323092616e-01       1.543763824931e+02 
       7.475228209507e-01       1.316911444263e+02 
       8.155704356388e-01       1.083165858373e+02 
       9.133163661733e-01       8.380317025612e+01 
       1.067808395530e+00       5.852953148433e+01 
       1.313863399151e+00       3.606789010549e+01 
       1.651252924045e+00       2.095343618147e+01 
       2.078750576060e+00       1.201519002096e+01 
       2.616991723179e+00       6.832959869658e+00 
       3.294597382657e+00       3.856890871446e+00 
       4.147652366658e+00       2.162434394880e+00 
       5.221584963674e+00       1.204899033783e+00 
       6.573586000611e+00       6.676185008579e-01 
       8.275654462784e+00       3.679883160636e-01 
       1.041843170243e+01       2.018734221647e-01 
       1.311602842123e+01       1.102593336583e-01 
       1.651210148130e+01       5.997196823855e-02 
       2.078750415693e+01       3.249333791205e-02 
       2.616991723093e+01       1.753990695602e-02 
       3.294597382657e+01       9.433665717728e-03 
       4.147652366658e+01       5.055031894627e-03 
       5.221584963674e+01       2.698198540868e-03 
       6.573586000611e+01       1.433910170976e-03 
       8.275654462784e+01       7.580243940504e-04 
       1.041843170243e+02       3.980162754216e-04 
